ID_NIL;NIL;Valido_dal;Valido_al;Fonte;Shape_Length;Shape_Area;OBJECTID
"83";BRUZZANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6441.28864329607;1670440.13198554;"109"
"66";QT 8;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4892.5348365597;1024398.65335568;"110"
"75";STEPHENSON;05/02/2020;Vigente;Milano 2030 - PGT Approvato;3582.57005913293;560084.432580851;"111"
"47";CANTALUPA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5161.41534802785;926681.684731089;"112"
"39";QUINTOSOLE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6740.83082052512;1058525.10451382;"113"
"8";PARCO SEMPIONE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;2966.98447506688;470420.284636933;"114"
"46";BARONA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6836.0114332642;2006248.74042707;"115"
"71";VILLAPIZZONE - CAGNOLA - BOLDINASCO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;8375.00349379417;3426940.96378732;"116"
"88";PARCO BOSCO IN CITTA';05/02/2020;Vigente;Milano 2030 - PGT Approvato;37072.9812112057;7834006.1151668;"117"
"16";GORLA - PRECOTTO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;9571.15060334154;3001918.55417484;"118"
"14";NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;10628.6409225175;4246804.95812931;"119"
"32";TRIULZO SUPERIORE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6923.73408316128;1389578.23192359;"120"
"27";PTA ROMANA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4701.97720224395;1002755.60029223;"121"
"30";TALIEDO - MORSENCHIO - Q.RE FORLANINI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;8775.58724857932;3821209.81952134;"122"
"6";PORTA TICINESE - CONCA DEL NAVIGLIO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5293.15906179219;1255017.31436439;"123"
"59";TRE TORRI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;2995.4970989318;513296.941042073;"124"
"87";ASSIANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;16203.7554103585;5840941.7108857;"125"
"37";MORIVIONE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;3772.62041288307;817945.789812052;"126"
